part,order,section_id,topic,depends_on,provides,status,version
1,1.0,humble_beginning,epistemic_stance,,"epistemic_humility, map_not_territory",stable,3.0.0
1,1.1,what_this_is_not,negative_definition,humble_beginning,boundaries,,
1,1.1,ontology,what_exists,operating_principles,,,
1,1.1.2,sixteen_levels,,three_planes,L-3_to_L12,,
1,1.2,what_this_is,positive_definition,what_this_is_not,"purpose, versioned_model",,
1,1.3,operating_principles,principles,what_this_is,"open_world, unknown_first_class, provisional_certainty, humble_science",,
2,2.0,problem_of_software,motivation,operating_principles,"problem_statement, fragmented_knowledge",,
2,2.0,part_2_relationships,,ontology,"edge_types, structural_edges, semantic_edges",,
2,2.1,the_question,,problem_of_software,central_question,,
2,2.2,why_no_one_before,,the_question,three_planes_intro,,
3,3.0,power_of_analogies,methodology,why_no_one_before,"universal_analogy, tudo_e_uma_analogia",,
3,3.0,part_3_taxonomy,,part_2_relationships,"classification_sources, confidence_levels, patterns",,
3,3.1,analogies_we_use,,power_of_analogies,analogy_table,,
3,3.2,why_analogies_work,,analogies_we_use,"isomorphism, computation_universal",,
3,3.3,fractal_nature,fractal_architecture,why_analogies_work,"fractal_principle, mipo_cycle, as_above_so_below",,
4,4.0,layers_of_abstraction,hierarchy,fractal_nature,"layer_concept, abstraction_ladder",,
4,4.0,part_4_structure,,part_3_taxonomy,"er_diagram, matrix_representation",,
4,4.1,inheritance_chain,,layers_of_abstraction,intellectual_lineage,,
4,4.2,sixteen_levels,,inheritance_chain,"L-3_to_L12, abstraction_scale, token_as_zero",,
5,5.0,three_bodies,planes_of_existence,sixteen_levels,"three_planes, physical_virtual_semantic",,
5,5.0,part_5_cosmology,,part_4_structure,"manifold, holon, purpose_field",,
5,5.1,three_planes,,three_bodies,plane_definitions,,
5,5.2,flow_between_planes,,three_planes,"encoding, interpretation",,
5,5.3,converging_to_entity,,flow_between_planes,"node_as_fundamental, node_L3",,
6,6.0,periodic_table,atom_organization,converging_to_entity,"200_atoms, 4_phases, 22_families",,
6,6.0,part_6_natural_law,,part_5_cosmology,"pancomputationalism, constructal_law",,
6,6.1,the_200_atoms,,periodic_table,"atom_inventory, phases_families",,
6,6.2,why_organization_works,,the_200_atoms,coverage_validation,,
6,6.3,the_33_roles,,why_organization_works,"role_taxonomy, 33_roles",,
7,7.0,octahedral_atom,geometric_model,the_33_roles,"octahedron_shape, 8_faces",,
7,7.0,part_7_future,,part_6_natural_law,"impulse_paradigm, junk_code_hypothesis",,
7,7.1,why_octahedron,,octahedral_atom,geometry_justification,,
7,7.2,eight_dimensions,,why_octahedron,"D1_to_D8, dimension_definitions",,
7,7.3,dual_dimensions,,eight_dimensions,"dualities, opposite_faces",,
7,7.4,dual_nature,,dual_dimensions,"epistemic_ontological, lens_dimension_duality",,
7,7.4.1,eight_lenses,,dual_nature,"R1_to_R8, lens_definitions",,
7,7.4.2,lens_dimension_question,,"eight_lenses, eight_dimensions",open_question_lenses_dimensions,,
8,8.0,relationships,edge_types,octahedral_atom,"edge_taxonomy, code_as_graph",,
8,8.0,part_8_atlas,,part_7_future,"unified_theory, visualizations",,
8,8.1,edge_types,,relationships,5_edge_categories,,
8,8.2,graph_of_code,,edge_types,graph_model,,
9,9.0,validation,empirical_testing,graph_of_code,"validation_approach, empirical_evidence",,
9,9.0,part_9_lineage,,part_8_atlas,"intellectual_inheritance, sources",,
9,9.1,empirical_coverage,,validation,language_coverage_stats,,
9,9.2,what_validated,,empirical_coverage,confirmed_hypotheses,,
9,9.3,what_not_validated,,what_validated,"limitations, open_questions",,
10,10.0,open_frontier,unknown,what_not_validated,"frontier_acknowledgment, epistemic_closure",,
10,10.0,part_10_concept_atlas,,part_9_lineage,"47_concepts, glossary",,
10,10.1,what_not_mapped,,open_frontier,gap_inventory,,
10,10.2,the_98_percent_problem,,what_not_mapped,junk_code_hypothesis,,
10,10.3,the_invitation,,the_98_percent_problem,open_contribution,,
11,11.0,taxonomy,classification_patterns,open_frontier,"classification_system, pattern_recognition",,
11,11.0,part_11_validation,,part_10_concept_atlas,"empirical_evidence, coverage_stats",,
11,11.1,classification_sources,,taxonomy,confidence_by_source,,
11,11.2,confidence_levels,,classification_sources,confidence_thresholds,,
11,11.3,pattern_types,,confidence_levels,prefix_suffix_path_patterns,,
12,12.0,lineage,intellectual_inheritance,taxonomy,"epistemic_contract, concept_provenance",,
12,12.0,part_12_octahedral_atom,,part_11_validation,"octahedron_geometry, 8_dimensions",,
12,12.1,foundational_lineages,,lineage,concept_ancestry,,
12,12.2,novel_contributions,,foundational_lineages,original_synthesis,,
12,12.3,bibliography,,novel_contributions,primary_sources,,
13,13.0,atlas,visualizations,lineage,"diagrams, scientific_analogies, unification_table",,
13,13.1,the_holon,,atlas,system_as_universe,,
13,13.2,scientific_analogies,,the_holon,"physics_code_mapping, astronomy_code_mapping",,
13,13.3,unification_table,,scientific_analogies,grand_synthesis,,
13,13.4,dependency_graph,,unification_table,concept_flow_visualization,,
13,13.5,layers_visualization,,dependency_graph,abstraction_stack,,
14,14.0,concept_atlas,prerequisites,atlas,"47_concepts, learning_path, glossary",,
14,14.1,concept_inventory,,concept_atlas,concept_count,,
14,14.2,spatial_relationships,,concept_inventory,"parallel, contains, above_below",,
14,14.3,learning_path,,spatial_relationships,phases_of_learning,,
14,14.4,essential_glossary,,learning_path,definitions,,
15,15.0,cosmology,global_topology,concept_atlas,"manifold, holon, purpose_field",,
15,15.1,the_manifold,,cosmology,8d_manifold,,
15,15.2,the_holon_cosmology,,the_manifold,holon_definition,,
15,15.3,grand_formula,,the_holon_cosmology,unification_formula,,
16,16.0,natural_law,pancomputationalism,cosmology,"constructal_law, biological_isomorphism",,
16,16.1,pancomputationalism,,natural_law,universe_as_computer,,
16,16.2,constructal_law,,pancomputationalism,flow_evolution,,
16,16.3,biological_isomorphism,,constructal_law,dna_code_parallel,,
